group_key,group_type,files,functions,sum_nloc,sum_ccn,sum_token,avg_nloc,avg_ccn,avg_token,max_nloc,max_ccn,max_token,avg_params,max_params
include/image_toc.h,file,1,4,30,6,139,7.500,1.500,34.750,11,3,45,7.500,11
systemcmds/work_queue,folder,1,2,32,6,135,16.000,3.000,67.500,19,5,109,19.500,24
systemcmds/uorb,folder,1,2,46,6,117,23.000,3.000,58.500,30,5,105,25.000,30
drivers/smart_battery,folder,1,2,32,6,184,16.000,3.000,92.000,28,5,162,22.000,40
drivers/drv_neopixel.h,file,1,5,5,5,68,1.000,1.000,13.600,1,1,18,1.000,1
systemcmds/perf,folder,1,2,26,5,129,13.000,2.500,64.500,18,4,93,15.500,21
systemcmds/nshterm,folder,1,2,41,5,221,20.500,2.500,110.500,31,4,192,28.500,46
systemcmds/dyn,folder,1,2,34,5,160,17.000,2.500,80.000,19,4,125,20.000,25
systemcmds/dmesg,folder,1,2,37,4,119,18.500,2.000,59.500,20,3,93,22.000,24
modules/spacecraft,folder,1,3,13,3,54,4.333,1.000,18.000,5,1,21,4.667,6
lib/cdrstream,folder,1,3,12,3,37,4.000,1.000,12.333,5,1,19,4.333,5
lib/button,folder,1,3,33,3,183,11.000,1.000,61.000,22,1,137,12.667,24
systemcmds/usb_connected,folder,1,2,15,3,51,7.500,1.500,25.500,8,2,33,8.500,9
systemcmds/hist,folder,1,2,14,3,53,7.000,1.500,26.500,9,2,36,8.000,11
lib/pid_design,folder,2,2,39,3,491,19.500,1.500,245.500,29,2,379,24.500,37
lib/circuit_breaker,folder,2,2,9,3,55,4.500,1.500,27.500,5,2,40,5.000,6
examples/px4_mavlink_debug,folder,1,1,46,3,356,46.000,3.000,356.000,46,3,356,68.000,68
lib/crypto,folder,1,2,10,2,47,5.000,1.000,23.500,6,1,37,5.000,6
drivers/drv_dshot.h,file,1,2,8,2,46,4.000,1.000,23.000,4,1,24,4.000,4
examples/dyn_hello,folder,1,1,9,2,54,9.000,2.000,54.000,9,2,54,12.000,12
systemcmds/shutdown,folder,1,1,4,1,18,4.000,1.000,18.000,4,1,18,4.000,4
systemcmds/launch_kmod,folder,1,1,6,1,40,6.000,1.000,40.000,6,1,40,6.000,6
drivers/drv_adc.h,file,1,1,4,1,15,4.000,1.000,15.000,4,1,15,4.000,4
